time,temp
1727810335.240256,26.5
1727810335.3522878,23.7
1727810335.5149338,23.7
1727810335.6276543,27.1
1727810335.7863696,27.1
1727810335.902427,25.4
1727810336.016059,25.4
1727810336.1741173,27.9
1727810336.3308938,27.9
1727810336.44746,24.4
1727810336.5638502,25.8
1727810336.677283,25.8
1727810336.8490171,25.8
1727810337.0034208,27.0
1727810337.116541,23.7
1727810337.232172,23.7
1727810337.3487256,28.0
1727810337.5096157,28.0
1727810337.6659038,23.0
1727810337.7825756,23.0
1727810337.8990116,31.3
1727810338.012881,31.3
1727810338.1251721,26.2
1727810338.2877755,26.2
1727810338.4496517,26.8
1727810338.6053088,26.0
1727810338.7665036,26.0
1727810338.8834937,23.5
1727810338.996227,23.5
1727810339.1481886,24.6
1727810339.2643466,24.6
1727810339.432129,23.2
1727810339.5481474,23.2
1727810339.7151818,22.2
1727810339.8869438,26.6
1727810340.0424995,26.6
1727810340.1571643,27.2
1727810340.3230507,27.2
1727810340.440392,28.2
1727810340.605953,28.2
1727810340.762076,25.1
1727810340.878242,25.3
1727810340.9918106,25.3
1727810341.1059515,23.4
1727810341.2218597,23.4
1727810341.3348546,23.5
1727810341.4975102,23.5
1727810341.6536202,27.6
1727810341.8135731,27.6
1727810341.9688797,28.5
1727810342.0842745,32.7
1727810342.2003744,32.7
1727810342.3170195,25.7
1727810342.4839141,25.7
1727810342.5987928,28.9
1727810342.7547812,28.9
1727810342.9166856,27.5
1727810343.029702,27.5
1727810343.1423593,30.9
1727810343.2586539,30.9
1727810343.4186513,25.3
1727810343.5339196,25.3
1727810343.7034824,28.0
1727810343.8193839,28.8
1727810343.9787922,28.8
1727810344.1332488,30.5
1727810344.2499456,30.5
1727810344.365541,26.0
1727810344.4823735,26.0
1727810344.5962284,31.4
1727810344.7119572,31.4
1727810344.828188,28.9
1727810344.9916985,28.9
1727810345.1477375,30.1
1727810345.3045237,30.1
1727810345.4688566,27.2
1727810345.5842285,24.8
1727810345.7008967,24.8
1727810345.817799,28.7
1727810345.9331555,28.7
1727810346.0925581,28.7
1727810346.2536032,31.2
1727810346.4256933,27.7
1727810346.541466,27.7
1727810346.7111733,32.4
1727810346.827757,32.7
1727810346.9862895,32.7
1727810347.101909,27.8
1727810347.2571497,27.8
1727810347.374721,29.5
1727810347.5374067,29.5
1727810347.6506515,25.4
1727810347.7673483,25.4
1727810347.8843825,31.4
1727810348.0421197,31.4
1727810348.1552248,25.1
1727810348.3125982,25.1
1727810348.4286907,28.7
1727810348.5459018,28.7
1727810348.6587603,25.2
1727810348.7750154,25.2
1727810348.8918219,30.8
1727810349.0554478,30.8
1727810349.170221,22.6
1727810349.336985,22.6
1727810349.4525042,28.1
1727810349.6100357,26.1
1727810349.7228284,26.1
1727810349.835519,29.8
1727810349.9471872,29.8
1727810350.0588675,29.8
1727810350.1705687,27.3
1727810350.2833312,27.3
1727810350.3957016,28.4
1727810350.548653,28.4
1727810350.6609516,25.1
1727810350.771552,25.1
1727810350.883898,30.0
1727810350.9946046,30.0
1727810351.1073205,26.5
1727810351.263886,26.5
1727810351.3763678,26.9
1727810351.5328197,26.9
1727810351.6900032,26.3
1727810351.8565817,26.3
1727810351.9726038,29.5
1727810352.0881732,31.5
1727810352.2466629,31.5
1727810352.3624284,32.6
1727810352.4772346,32.6
1727810352.5921044,29.1
1727810352.707214,29.1
1727810352.8692453,32.5
1727810353.024235,32.5
1727810353.1803524,31.7
1727810353.3368177,31.7
1727810353.497085,33.8
1727810353.6114335,35.9
1727810353.7268264,35.9
1727810353.884864,27.5
1727810353.9973814,27.5
1727810354.1089878,32.3
1727810354.2642968,32.3
1727810354.4358149,32.3
1727810354.5523813,32.3
1727810354.717111,34.0
1727810354.8336098,34.1
1727810354.9498732,34.1
1727810355.0648344,37.0
1727810355.1800232,37.0
1727810355.3509765,37.0
1727810355.4649405,33.4
1727810355.633842,37.5
1727810355.7940383,37.5
1727810355.952632,34.4
1727810356.0688336,36.1
1727810356.1855385,36.1
1727810356.346901,36.1
1727810356.5034702,37.1
1727810356.6167526,34.7
1727810356.7326071,34.7
1727810356.8485878,38.5
1727810356.9623697,38.5
1727810357.0786262,37.5
1727810357.234914,37.5
1727810357.3509393,37.7
1727810357.4674194,37.7
1727810357.6290414,38.4
1727810357.7877576,38.4
1727810357.9448996,41.1
1727810358.1138299,41.1
1727810358.2734275,37.6
1727810358.390618,35.7
1727810358.560588,35.7
1727810358.7317994,37.0
1727810358.848218,35.5
1727810358.9646726,35.5
1727810359.0811622,35.2
1727810359.2415192,35.2
1727810359.3989801,38.3
1727810359.5108805,38.3
1727810359.6259558,36.9
1727810359.7897055,36.9
1727810359.907226,41.9
1727810360.0235724,41.9
1727810360.1808932,42.9
1727810360.3523614,42.9
1727810360.5084403,39.9
1727810360.621007,38.1
1727810360.7370555,38.1
1727810360.8987246,37.1
1727810361.053914,37.1
